,statecode,countycode,fipscode,state,county,year,county_clustered,flu_vaccine,flu_vaccine_aian,flu_vaccine_asian,flu_vaccine_black,flu_vaccine_hispanic,flu_vaccine_white,access_to_exercise_opp,preventable_hospital_stay,air_pollution,drinking_water_violation,income_inequality,life_expectancy,life_expectancy_aian,life_expectancy_asian,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,life_expectancy_nhopi,diabetes,hiv,obesity,limited_access_healthy_food,food_insecurity,insufficient_sleep,alcohol_impair_drive_death,drug_overdose,smoking,inactivity,access_to_parks,median_household_income,rural,region,state_name
17,1,31,1031,AL,Coffee County,2025,1.0,0.36,,0.41,0.31,0.2,0.36,0.522547461,3229.0,8.9,1.0,5.2417204662,74.199504456,,,69.138637774,84.401098563,74.72078073,,0.118,172.7,0.341,0.08991895,0.178,0.413,0.2542372881,10.480306272,0.146,0.269,0.0008042645,64737.0,0.4753015992,South,Alabama
18,1,33,1033,AL,Colbert County,2025,1.0,0.44,,0.54,0.39,,0.44,0.6886259982,3801.0,7.5,0.0,4.6638112921,73.022425449,,,68.677878275,,73.600621205,,0.12,170.0,0.409,0.0882930331,0.176,0.416,0.2692307692,19.307504183,0.188,0.292,0.0457126881,57770.0,0.4029566463,South,Alabama
19,1,35,1035,AL,Conecuh County,2025,1.0,0.42,,,0.37,,0.44,0.3740622575,8851.0,8.5,0.0,5.3343410267,68.961085989,,,67.001772996,,69.415097296,,0.155,280.9,0.447,0.1328897274,0.171,0.437,0.1304347826,31.990693616,0.198,0.332,0.0021557299,46702.0,1.0,South,Alabama
20,1,37,1037,AL,Coosa County,2025,1.0,0.4,,,0.41,,0.4,0.0405314335,2166.0,8.5,0.0,4.0035175691,72.230535629,,,68.818184241,,73.097278848,,0.132,267.4,0.428,0.0771721924,0.158,0.419,0.4,,0.203,0.308,0.0160777895,59736.0,1.0,South,Alabama
21,1,39,1039,AL,Covington County,2025,1.0,0.37,,,0.31,,0.37,0.5791589034,5148.0,8.6,0.0,5.6305395739,70.640113875,,,64.765418788,,71.096440624,,0.117,169.9,0.446,0.0548048496,0.192,0.366,0.1666666667,22.310273435,0.189,0.279,0.1129092361,50119.0,0.6881554432,South,Alabama
22,1,41,1041,AL,Crenshaw County,2025,1.0,0.36,,,0.28,,0.37,0.1482492042,2631.0,8.5,0.0,5.7584695098,70.418927021,,,67.6886057,,70.927262558,,0.129,284.0,0.403,0.1350618346,0.164,0.404,0.2941176471,,0.2,0.305,0.1482492042,49128.0,1.0,South,Alabama
23,1,43,1043,AL,Cullman County,2025,1.0,0.48,,0.54,0.31,0.27,0.48,0.4711264881,3936.0,8.7,0.0,4.5749921556,72.853788329,,,,,72.510952442,,0.116,107.1,0.397,0.0284374427,0.174,0.374,0.2950819672,30.60345479,0.186,0.305,0.0297043225,61231.0,0.7559920788,South,Alabama
24,1,45,1045,AL,Dale County,2025,1.0,0.4,,0.39,0.37,0.35,0.4,0.389084864,2899.0,9.0,0.0,4.8111002468,73.008730369,,,70.286510475,88.135669228,72.698420605,,0.135,320.5,0.443,0.0879550211,0.19,0.397,0.2682926829,16.233217221,0.185,0.293,,54697.0,0.5045209423,South,Alabama
25,1,47,1047,AL,Dallas County,2025,1.0,0.39,,,0.32,,0.44,0.5646612241,3264.0,8.7,0.0,5.5928829504,67.706493274,,,66.061516845,,71.732475181,,0.175,466.2,0.505,0.087671298,0.191,0.476,0.375,23.532819232,0.197,0.345,0.0506473922,39013.0,0.4486246165,South,Alabama
26,1,49,1049,AL,DeKalb County,2025,1.0,0.4,,,0.47,0.21,0.41,0.3865769188,3154.0,7.2,0.0,4.7927204539,72.357615551,,,,80.881100541,71.442078351,,0.138,114.4,0.389,,0.194,0.411,0.202247191,22.741090366,0.225,0.341,0.109959781,50614.0,0.8829739694,South,Alabama
27,1,51,1051,AL,Elmore County,2025,1.0,0.34,,0.19,0.28,0.31,0.35,0.5111108585,3630.0,9.4,0.0,4.0420000595,74.60542113,,,71.658152785,101.94180186,74.983491264,,0.114,295.0,0.364,0.0498424559,0.141,0.422,0.3333333333,10.726941864,0.158,0.256,0.0431362743,73125.0,0.7123680053,South,Alabama
28,1,53,1053,AL,Escambia County,2025,1.0,0.29,0.21,,0.17,,0.31,0.3864570014,3640.0,8.9,0.0,5.3975738018,70.098328137,,,69.057723819,,70.227276182,,0.15,246.4,0.435,0.0567654877,0.193,0.461,0.2448979592,49.249402623,0.217,0.327,0.011426395,50333.0,0.6528280328,South,Alabama
29,1,55,1055,AL,Etowah County,2025,1.0,0.39,,0.27,0.29,0.31,0.4,0.5472466066,4044.0,7.9,0.0,4.8791989664,70.243289319,,,66.923189635,82.956543728,70.435663237,,0.126,246.9,0.413,0.1339791957,0.175,0.462,0.1976744186,25.921761643,0.188,0.299,0.0703913531,52504.0,0.4316968947,South,Alabama
30,1,57,1057,AL,Fayette County,2025,1.0,0.41,,,0.45,,0.41,0.3584951902,3940.0,8.3,0.0,5.5408065546,70.679483092,,,68.795572901,,70.543113066,,0.132,102.2,0.392,0.0042998961,0.205,0.405,0.2941176471,39.169604387,0.218,0.322,,49235.0,1.0,South,Alabama
31,1,59,1059,AL,Franklin County,2025,1.0,0.37,,,0.32,0.27,0.38,0.5691775916,5425.0,7.5,0.0,4.5518775825,71.506373608,,,,81.965163821,70.866102496,,0.135,98.6,0.396,0.0573510465,0.183,0.393,0.2222222222,27.238821607,0.203,0.333,0.012736275,49682.0,0.6904991748,South,Alabama
32,1,61,1061,AL,Geneva County,2025,1.0,0.42,,,0.36,,0.42,0.3550020631,3186.0,8.9,0.0,4.3964702736,70.579638414,,,64.010905325,,70.664833237,,0.125,210.9,0.382,0.0386399103,0.206,0.412,0.2564102564,16.271356155,0.18,0.302,0.0127161559,50006.0,0.9944108931,South,Alabama
33,1,63,1063,AL,Greene County,2025,1.0,0.3,,,0.26,,0.37,0.0397153946,2780.0,8.5,0.0,5.2469433962,70.558950817,,,70.373952119,,,,0.194,510.5,0.51,0.2275647535,0.211,0.51,0.3255813953,,0.239,0.399,0.0012936611,34619.0,1.0,South,Alabama
34,1,65,1065,AL,Hale County,2025,1.0,0.35,,,0.26,,0.41,0.5071356104,4263.0,8.7,0.0,6.0155182323,69.946175937,,,67.507364611,,73.067278869,,0.156,505.1,0.444,0.0697649126,0.191,0.449,0.5,,0.186,0.32,0.2762259046,42380.0,1.0,South,Alabama
35,1,67,1067,AL,Henry County,2025,1.0,0.39,,,0.28,,0.4,0.1852327073,3857.0,9.0,0.0,5.8215134206,74.216601454,,,69.563939776,,75.881996824,,0.137,263.5,0.383,0.0804810337,0.166,0.426,0.3,,0.215,0.328,0.0169135658,55598.0,1.0,South,Alabama
36,1,69,1069,AL,Houston County,2025,1.0,0.44,,0.45,0.34,0.27,0.45,0.7218522042,3542.0,9.3,0.0,5.1652568239,73.542174929,,,69.714674997,84.820351949,74.71798957,,0.13,428.3,0.375,0.0424210913,0.174,0.404,0.2857142857,16.453648829,0.188,0.295,0.0020801851,59412.0,0.3431652395,South,Alabama
37,1,71,1071,AL,Jackson County,2025,1.0,0.4,,,0.33,,0.4,0.3767854086,2342.0,7.9,0.0,4.6348426085,70.899564188,,,68.512179478,91.943719757,70.391815814,,0.124,92.6,0.386,0.0537041645,0.2,0.421,0.171875,10.811085815,0.207,0.311,0.0780539759,51479.0,0.7530953422,South,Alabama
38,1,73,1073,AL,Jefferson County,2025,1.0,0.47,,0.49,0.35,0.31,0.5,0.7978616347,3161.0,10.2,0.0,5.4671421294,72.43208331,,83.087131884,69.317726948,89.57983767,74.685124499,,0.129,679.6,0.397,0.125866386,0.152,0.384,0.1178861789,50.086217691,0.15,0.265,0.2641476996,64726.0,0.1207091524,South,Alabama
39,1,75,1075,AL,Lamar County,2025,1.0,0.41,,,0.25,,0.42,0.2322502147,2812.0,8.2,0.0,5.1282472533,72.385633339,,,,,72.471494405,,0.12,189.1,0.383,0.0041625375,0.187,0.395,0.1739130435,,0.19,0.289,,50929.0,1.0,South,Alabama
40,1,77,1077,AL,Lauderdale County,2025,1.0,0.48,,0.64,0.38,0.29,0.49,0.5265593604,3140.0,7.3,0.0,4.7957901743,74.903864823,,,70.038890076,104.7278247,75.1423633,,0.108,112.0,0.365,0.0647068192,0.164,0.414,0.1428571429,19.414802551,0.163,0.255,0.0292420162,63895.0,0.5216322517,South,Alabama
41,1,79,1079,AL,Lawrence County,2025,1.0,0.38,,,0.32,,0.39,0.5649321199,3658.0,7.9,0.0,4.3071152268,71.144564733,,,66.739181698,,70.178629708,,0.131,70.8,0.407,0.0535403483,0.18,0.399,0.1454545455,,0.205,0.301,0.08257491,61064.0,0.9999395277,South,Alabama
42,1,81,1081,AL,Lee County,2025,1.0,0.42,,0.36,0.31,0.24,0.45,0.6107862099,2107.0,9.3,0.0,6.401174743,77.146206461,,,72.47688344,92.718748743,78.000651487,,0.119,224.4,0.352,0.1106901952,0.155,0.375,0.2680412371,12.004069951,0.159,0.265,0.2376822906,62301.0,0.2638988527,South,Alabama
43,1,83,1083,AL,Limestone County,2025,1.0,0.47,,0.59,0.39,0.4,0.47,0.497914454,2758.0,7.8,0.0,4.4251247691,76.061757922,,86.862674274,77.658697827,92.017296138,75.437705234,,0.112,147.6,0.358,0.0642636737,0.148,0.398,0.2598425197,6.5492990691,0.155,0.244,0.0708120112,81811.0,0.5101284156,South,Alabama
44,1,85,1085,AL,Lowndes County,2025,1.0,0.35,,,0.27,,0.4,0.0091164775,3194.0,8.7,0.0,6.3511284722,67.599804261,,,66.013234998,,70.694121114,,0.184,544.1,0.496,0.2020400656,0.18,0.495,0.1621621622,,0.219,0.362,0.0091164775,42011.0,1.0,South,Alabama
45,1,87,1087,AL,Macon County,2025,1.0,0.28,,,0.26,,0.35,0.3866475527,3060.0,8.9,0.0,5.4340294257,71.420007275,,,69.842144879,,75.092552413,,0.177,648.3,0.477,0.2209988702,0.165,0.447,0.25,,0.192,0.351,0.2903440508,40710.0,0.5390640999,South,Alabama
46,1,89,1089,AL,Madison County,2025,1.0,0.43,,0.43,0.33,0.35,0.45,0.7819545385,2609.0,7.1,0.0,4.9246695904,76.475175248,116.75086696,87.059552543,73.604730896,86.107431065,76.668847299,,0.11,258.6,0.357,0.0934290738,0.139,0.384,0.3228699552,28.856869081,0.138,0.217,0.3892640273,86172.0,0.1710227668,South,Alabama
47,1,91,1091,AL,Marengo County,2025,1.0,0.38,,,0.28,,0.43,0.4757025307,2883.0,8.7,1.0,6.6424484365,70.764814396,,,67.528512366,,73.881201024,,0.154,208.7,0.461,0.1324722546,0.177,0.439,0.2333333333,,0.199,0.327,0.0565129638,47228.0,0.6777415515,South,Alabama
48,1,93,1093,AL,Marion County,2025,1.0,0.38,,,0.27,,0.38,0.3125319519,5097.0,7.8,1.0,4.9441931385,72.404085747,,,,,71.883015839,,0.124,168.7,0.395,0.0103100843,0.2,0.386,0.3333333333,,0.188,0.298,,48829.0,1.0,South,Alabama
49,1,95,1095,AL,Marshall County,2025,1.0,0.45,,0.62,0.36,0.18,0.46,0.5238905053,3202.0,8.7,0.0,4.7301922082,71.900213003,,,70.532962849,87.979481002,71.33733016,,0.114,151.1,0.386,0.1003142129,0.176,0.403,0.202020202,26.472894132,0.171,0.279,0.0774904725,59882.0,0.5365119043,South,Alabama
50,1,97,1097,AL,Mobile County,2025,1.0,0.42,0.71,0.37,0.33,0.31,0.44,0.6292148917,3646.0,8.0,1.0,5.0727057531,72.618914026,75.844200113,83.274580746,69.932866143,100.89813297,73.616469332,,0.135,574.2,0.422,0.0971583445,0.163,0.415,0.3387096774,26.753960556,0.191,0.287,0.3154054035,55538.0,0.2239633181,South,Alabama
51,1,99,1099,AL,Monroe County,2025,1.0,0.35,,,0.29,,0.38,0.4256524378,3745.0,8.6,1.0,5.6142645607,70.791269449,,,68.615185994,,72.247795439,,0.152,204.5,0.427,0.1132965077,0.186,0.456,0.2142857143,18.483977752,0.208,0.329,0.0049565041,49314.0,0.7833299616,South,Alabama
52,1,101,1101,AL,Montgomery County,2025,1.0,0.36,,0.35,0.29,0.29,0.4,0.7828603126,3364.0,7.9,0.0,5.1317574962,72.724550576,,87.365150534,70.77930919,80.292864678,75.516923903,,0.157,839.8,0.446,0.1074431796,0.16,0.438,0.2636363636,16.656004858,0.181,0.296,0.0458913144,60063.0,0.1236405566,South,Alabama
53,1,103,1103,AL,Morgan County,2025,1.0,0.44,,0.37,0.33,0.2,0.45,0.7180301569,3621.0,8.1,0.0,4.8227272727,72.755057494,,,68.841547533,81.801275643,72.896682954,,0.129,159.1,0.387,0.0827116877,0.164,0.396,0.2,26.647668873,0.175,0.296,0.1959553074,70387.0,0.3843754304,South,Alabama
54,1,105,1105,AL,Perry County,2025,1.0,0.25,,,0.21,,0.28,0.5515215603,4058.0,8.5,0.0,3.3381129597,68.821870444,,,66.802313237,,74.610833072,,0.189,467.3,0.5,0.2784707425,0.214,0.474,0.375,,0.235,0.388,0.109622841,34176.0,1.0,South,Alabama
55,1,107,1107,AL,Pickens County,2025,1.0,0.45,,,0.35,,0.48,0.160225906,3277.0,8.6,0.0,5.2594753641,71.498580013,,,68.376491052,,72.940077329,,0.145,307.9,0.438,0.0149668234,0.193,0.422,0.1666666667,19.200223421,0.196,0.326,0.0,47372.0,1.0,South,Alabama
56,1,109,1109,AL,Pike County,2025,1.0,0.34,,,0.25,,0.36,0.6129540428,3044.0,8.6,0.0,6.018294368,71.64235794,,,68.270499324,,72.968997339,,0.137,417.0,0.406,0.10493585,0.17,0.401,0.2173913043,,0.164,0.297,,50675.0,0.5617558848,South,Alabama
57,1,111,1111,AL,Randolph County,2025,1.0,0.33,,,0.23,,0.34,0.4066554377,3389.0,8.4,0.0,5.554450316,73.064225194,,,71.367149013,,73.159937443,,0.13,104.3,0.409,0.1318332823,0.184,0.401,0.46875,14.839437289,0.204,0.314,0.0223061866,57148.0,1.0,South,Alabama
58,1,113,1113,AL,Russell County,2025,1.0,0.38,,0.34,0.34,0.24,0.4,0.5954243617,2833.0,8.7,0.0,4.88064076,71.017446865,,,71.430379922,77.491120529,69.563544091,,0.158,498.4,0.469,0.0666527765,0.188,0.433,0.1794871795,29.057511082,0.203,0.33,0.2298802021,52312.0,0.4035111434,South,Alabama
59,1,115,1115,AL,St. Clair County,2025,1.0,0.4,,0.44,0.33,,0.41,0.4921901584,3986.0,9.4,0.0,3.8269602609,72.792927371,,,70.671258185,,72.602378144,,0.106,165.9,0.33,0.0237381398,0.152,0.358,0.23,41.814006971,0.152,0.248,0.003721063,78349.0,0.6711085255,South,Alabama
60,1,117,1117,AL,Shelby County,2025,1.0,0.43,,0.48,0.34,0.24,0.44,0.7397634335,2771.0,10.0,0.0,3.9271514099,79.404063548,,88.233760597,75.424681131,101.88654066,79.338241256,,0.095,178.5,0.321,0.0581979307,0.125,0.351,0.2336448598,25.05730015,0.112,0.208,0.2052918072,90280.0,0.2396737571,South,Alabama
61,1,119,1119,AL,Sumter County,2025,1.0,0.3,,,0.26,,0.35,0.3093560146,2666.0,8.7,0.0,4.4223984847,71.343758203,,,68.550475841,,77.51268046,,0.176,402.1,0.452,0.1074469575,0.187,0.483,0.3666666667,,0.207,0.358,,37021.0,1.0,South,Alabama
62,1,121,1121,AL,Talladega County,2025,1.0,0.37,,,0.26,,0.39,0.5463121888,3315.0,9.1,0.0,5.4513799585,70.451040172,,,68.744066436,,70.755178801,,0.141,261.1,0.426,0.078416455,0.181,0.447,0.2380952381,15.27581096,0.185,0.314,0.174853011,59491.0,0.5867995959,South,Alabama
63,1,123,1123,AL,Tallapoosa County,2025,1.0,0.43,,,0.38,,0.44,0.618067827,1879.0,8.6,0.0,4.9328691061,72.783391238,,,71.085045777,,73.144143479,,0.129,229.1,0.419,0.0326649005,0.176,0.425,0.2368421053,12.281692909,0.176,0.293,0.0672944252,60583.0,0.7840768802,South,Alabama
64,1,125,1125,AL,Tuscaloosa County,2025,1.0,0.43,,0.49,0.32,0.12,0.46,0.6678720555,3919.0,7.5,1.0,5.3326788563,74.51571098,,84.225375222,71.703634447,98.821833294,75.759551578,,0.128,287.3,0.414,0.067321444,0.152,0.419,0.3529411765,21.495971358,0.176,0.28,0.2835717684,61117.0,0.3109022358,South,Alabama
65,1,127,1127,AL,Walker County,2025,1.0,0.38,,,0.37,,0.38,0.4207707141,4238.0,9.0,1.0,5.3806643625,67.799489094,,,65.989322671,,67.529337437,,0.128,142.2,0.429,0.0371867577,0.195,0.436,0.2376237624,50.962038482,0.218,0.34,0.0260475651,57950.0,0.7968534786,South,Alabama
66,1,129,1129,AL,Washington County,2025,1.0,0.28,,,0.22,,0.29,0.104432025,4398.0,9.0,0.0,8.2778819705,72.598586835,,,70.358642164,,73.249358746,,0.138,171.1,0.415,0.0448101804,0.162,0.444,0.3125,,0.212,0.319,,57311.0,1.0,South,Alabama
67,1,131,1131,AL,Wilcox County,2025,1.0,0.27,,,0.22,,0.32,0.0159433962,2909.0,8.5,1.0,6.8199073382,68.73901576,,,66.179250386,,73.104160866,,0.188,271.5,0.485,0.2368298607,0.198,0.474,0.2352941176,,0.25,0.407,0.0159433962,34426.0,1.0,South,Alabama
68,1,133,1133,AL,Winston County,2025,1.0,0.37,,,,,0.37,0.7805012744,6881.0,8.1,0.0,4.6426765312,72.676920031,,,,,72.142930942,,0.119,73.4,0.363,0.0169450853,0.2,0.373,0.2272727273,22.562222379,0.178,0.281,0.4741291419,52280.0,1.0,South,Alabama
69,2,0,2000,AK,Alaska,2025,,0.32,0.25,0.35,0.22,0.25,0.33,0.7906191922,2039.0,5.3,0.68,4.2138486793,76.315233199,65.137511146,85.57065597,75.809411323,85.028905582,78.660173092,67.387134596,0.083,126.7,0.323,0.0786878878,0.128,0.376,0.3444444444,30.672417669,0.162,0.213,0.4562191246,88696.0,0.3510051255,West,Alaska
70,2,13,2013,AK,Aleutians East Borough,2025,1.0,,,,,,,0.2736842105,,,1.0,4.7331899642,,,,,,,,0.126,,0.309,0.1459033315,0.122,0.418,,,0.172,0.298,0.2736842105,83000.0,1.0,West,Alaska
71,2,16,2016,AK,Aleutians West Census Area,2025,1.0,,,,,,,0.813646789,,,1.0,3.1340380252,85.91516727,,,,,,,0.112,,0.289,0.078084301,0.128,0.389,,,0.163,0.271,0.0005733945,104159.0,1.0,West,Alaska
72,2,20,2020,AK,Anchorage Borough,2025,1.0,0.35,0.35,0.36,0.22,0.24,0.36,0.9386053762,1886.0,5.8,1.0,4.0473686526,76.34256887,61.806340618,83.762694778,73.678318967,82.841930576,78.773678739,63.959781538,0.079,,0.296,0.0457002427,0.112,0.347,0.2815533981,39.310683113,0.136,0.199,0.6433336652,93881.0,0.0426922852,West,Alaska
73,2,50,2050,AK,Bethel Census Area,2025,1.0,0.03,0.02,0.13,,,0.13,0.9177113468,3193.0,,1.0,5.5488834678,68.864695155,67.15624131,,,,,,0.143,,0.415,0.3985265045,0.202,0.418,0.5,19.909141916,0.338,0.354,0.9177113468,62140.0,0.7269366763,West,Alaska
74,2,60,2060,AK,Bristol Bay Borough,2025,1.0,0.29,0.12,,,,0.31,0.058056872,334.0,,0.0,3.6032171582,,,,,,,,0.091,,0.32,0.1167936327,0.135,0.38,1.0,,0.18,0.21,0.058056872,99790.0,1.0,West,Alaska
75,2,63,2063,AK,Chugach Census Area,2025,0.0,,,,,,,0.661926218,,,,3.1746450183,,,,,,,,0.078,,0.304,,0.11,0.347,,,0.149,0.2,0.1874119966,95180.0,1.0,West,Alaska
76,2,66,2066,AK,Copper River Census Area,2025,0.0,,,,,,,0.5242644249,,,,5.0609486538,,,,,,,,0.089,,0.326,,0.166,0.363,,,0.175,0.226,0.5242644249,69092.0,1.0,West,Alaska
77,2,68,2068,AK,Denali Borough,2025,0.0,,,,,,,0.7201976529,,,0.0,4.8162159045,88.591762237,,,,,,,0.077,,0.308,0.3309144787,0.106,0.323,0.0,,0.151,0.207,0.3909820877,86118.0,1.0,West,Alaska
78,2,70,2070,AK,Dillingham Census Area,2025,1.0,0.21,0.15,,,,0.34,0.4651019148,4937.0,,1.0,4.2704273396,68.174982434,64.296052568,,,,,,0.127,,0.372,0.3146643425,0.153,0.378,0.5,76.772752652,0.274,0.279,0.4651019148,62598.0,1.0,West,Alaska
79,2,90,2090,AK,Fairbanks North Star Borough,2025,1.0,0.32,0.34,0.32,0.24,0.2,0.32,0.7402854007,1286.0,11.9,1.0,3.8908895333,77.684520715,64.643192117,86.72327807,80.709671457,85.329918005,78.908950278,,0.076,,0.321,0.0773120172,0.111,0.368,0.325,19.539427774,0.139,0.203,0.2148868329,86780.0,0.2536093252,West,Alaska
80,2,100,2100,AK,Haines Borough,2025,1.0,0.47,0.49,,,,0.45,0.9576923077,,,0.0,6.1813292355,78.336464242,,,,,76.49899705,,0.073,,0.326,0.1008529375,0.127,0.33,1.0,,0.157,0.199,0.3038461538,78649.0,1.0,West,Alaska
81,2,105,2105,AK,Hoonah-Angoon Census Area,2025,1.0,,,,,,,0.378858351,,,,5.7612064965,78.265212214,,,,,,,0.1,,0.317,0.3113017406,0.149,0.377,,,0.206,0.248,0.378858351,64720.0,1.0,West,Alaska
82,2,110,2110,AK,Juneau Borough,2025,1.0,0.44,0.45,0.38,0.24,0.34,0.45,1.0,1642.0,4.8,0.0,3.9086982942,79.790675956,69.333670878,94.432051181,,82.38943196,82.047269204,,0.077,,0.328,0.0196160136,0.104,0.328,0.5,33.50539751,0.148,0.203,1.0,99748.0,0.2324910867,West,Alaska
